Epoch 1100 | Loss: 0.3086 | Train Acc: 0.8542 | Val Acc: 0.8167
Epoch 1150 | Loss: 0.3133 | Train Acc: 0.8571 | Val Acc: 0.8369
Epoch 1200 | Loss: 0.3061 | Train Acc: 0.8619 | Val Acc: 0.8595
Epoch 1250 | Loss: 0.3002 | Train Acc: 0.8652 | Val Acc: 0.8417
Epoch 1300 | Loss: 0.3006 | Train Acc: 0.8619 | Val Acc: 0.8333
Epoch 1350 | Loss: 0.3038 | Train Acc: 0.8604 | Val Acc: 0.8548
Epoch 1400 | Loss: 0.3027 | Train Acc: 0.8679 | Val Acc: 0.8607
Epoch 1450 | Loss: 0.2779 | Train Acc: 0.8673 | Val Acc: 0.8512
Best epoch:  1341
Combination 6/300: {'hidden1': 50, 'hidden2': 25, 'activation': 'tanh', 'lr': 0.01, 'alpha': 0.01, 'batch_size': 128}
Epoch 001 | Loss: 2.4921 | Train Acc: 0.4074 | Val Acc: 0.3821
Epoch 050 | Loss: 0.4271 | Train Acc: 0.8158 | Val Acc: 0.7905
Epoch 100 | Loss: 0.4023 | Train Acc: 0.8390 | Val Acc: 0.8417
Epoch 150 | Loss: 0.4103 | Train Acc: 0.8488 | Val Acc: 0.8536
Epoch 200 | Loss: 0.3678 | Train Acc: 0.8592 | Val Acc: 0.8643
Epoch 250 | Loss: 0.3643 | Train Acc: 0.8369 | Val Acc: 0.8226
Epoch 300 | Loss: 0.3777 | Train Acc: 0.8443 | Val Acc: 0.8488
Epoch 350 | Loss: 0.3665 | Train Acc: 0.8604 | Val Acc: 0.8548
Epoch 400 | Loss: 0.3667 | Train Acc: 0.8298 | Val Acc: 0.8107
Epoch 450 | Loss: 0.3630 | Train Acc: 0.8268 | Val Acc: 0.8250
Epoch 500 | Loss: 0.3478 | Train Acc: 0.8530 | Val Acc: 0.8524
Epoch 550 | Loss: 0.3406 | Train Acc: 0.8464 | Val Acc: 0.8381
Epoch 600 | Loss: 0.3490 | Train Acc: 0.8494 | Val Acc: 0.8524
Epoch 650 | Loss: 0.3511 | Train Acc: 0.8446 | Val Acc: 0.8321
Epoch 700 | Loss: 0.3459 | Train Acc: 0.8485 | Val Acc: 0.8381
Epoch 750 | Loss: 0.3509 | Train Acc: 0.8545 | Val Acc: 0.8488
Epoch 800 | Loss: 0.3503 | Train Acc: 0.8232 | Val Acc: 0.8000
Epoch 850 | Loss: 0.3763 | Train Acc: 0.8423 | Val Acc: 0.8393
Epoch 900 | Loss: 0.3460 | Train Acc: 0.8586 | Val Acc: 0.8595
Epoch 950 | Loss: 0.3397 | Train Acc: 0.8432 | Val Acc: 0.8310
Epoch 1000 | Loss: 0.3631 | Train Acc: 0.8420 | Val Acc: 0.8417
Epoch 1050 | Loss: 0.3515 | Train Acc: 0.8449 | Val Acc: 0.8310
Epoch 1100 | Loss: 0.3585 | Train Acc: 0.8577 | Val Acc: 0.8452
Epoch 1150 | Loss: 0.3454 | Train Acc: 0.8488 | Val Acc: 0.8393
Early stopping at epoch 1161
Best epoch:  661
Combination 7/300: {'hidden1': 10, 'hidden2': 100, 'activation': 'tanh', 'lr': 0.01, 'alpha': 0.0001, 'batch_size': 512}
Epoch 001 | Loss: 3.0085 | Train Acc: 0.2012 | Val Acc: 0.2131
Epoch 050 | Loss: 0.5135 | Train Acc: 0.7979 | Val Acc: 0.7905
Epoch 100 | Loss: 0.4189 | Train Acc: 0.8217 | Val Acc: 0.8071
Epoch 150 | Loss: 0.3767 | Train Acc: 0.8292 | Val Acc: 0.8143
Epoch 200 | Loss: 0.3662 | Train Acc: 0.8464 | Val Acc: 0.8298
Epoch 250 | Loss: 0.3525 | Train Acc: 0.8515 | Val Acc: 0.8417
Epoch 300 | Loss: 0.3242 | Train Acc: 0.8554 | Val Acc: 0.8607
Epoch 350 | Loss: 0.3204 | Train Acc: 0.8610 | Val Acc: 0.8512
Epoch 400 | Loss: 0.3149 | Train Acc: 0.8610 | Val Acc: 0.8393
Epoch 450 | Loss: 0.2996 | Train Acc: 0.8583 | Val Acc: 0.8381
Epoch 500 | Loss: 0.2938 | Train Acc: 0.8685 | Val Acc: 0.8631
Epoch 550 | Loss: 0.2953 | Train Acc: 0.8708 | Val Acc: 0.8607
Epoch 600 | Loss: 0.2964 | Train Acc: 0.8696 | Val Acc: 0.8631
Epoch 650 | Loss: 0.2921 | Train Acc: 0.8738 | Val Acc: 0.8738
Epoch 700 | Loss: 0.2834 | Train Acc: 0.8789 | Val Acc: 0.8714
Epoch 750 | Loss: 0.2823 | Train Acc: 0.8801 | Val Acc: 0.8738
Epoch 800 | Loss: 0.2851 | Train Acc: 0.8786 | Val Acc: 0.8714
Epoch 850 | Loss: 0.2846 | Train Acc: 0.8786 | Val Acc: 0.8726
Epoch 900 | Loss: 0.2761 | Train Acc: 0.8708 | Val Acc: 0.8619
Epoch 950 | Loss: 0.2829 | Train Acc: 0.8747 | Val Acc: 0.8655
Epoch 1000 | Loss: 0.2694 | Train Acc: 0.8815 | Val Acc: 0.8726
Epoch 1050 | Loss: 0.2936 | Train Acc: 0.8756 | Val Acc: 0.8655
Epoch 1100 | Loss: 0.2707 | Train Acc: 0.8833 | Val Acc: 0.8738
